Title,Genre,Summary,Tokenized
Undertale,2,"a small child falls into the underground, where monsters have long been banished by humans and are hunting every human that they find. the player controls the child as they try to make it back to the surface through hostile environments, all the while engaging with a combat system with and bullet hell elements, as well as other unconventional game mechanics. ",small child falls underground monsters long banished humans hunting every human find player controls child try make back surface hostile environments engaging combat system bullet hell elements well unconventional game mechanics
Undertale,5,"a small child falls into the underground, where monsters have long been banished by humans and are hunting every human that they find. the player controls the child as they try to make it back to the surface through hostile environments, all the while engaging with a combat system with and bullet hell elements, as well as other unconventional game mechanics. ",small child falls underground monsters long banished humans hunting every human find player controls child try make back surface hostile environments engaging combat system bullet hell elements well unconventional game mechanics
Hollow Knight,1,"a 2d metroidvania with an emphasis on close combat and exploration in which the player enters the insect kingdom of hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing areas. ",metroidvania emphasis close combat exploration player enters insect kingdom hallownest travels various districts meets friendly inhabitants fights hostile ones uncovers kingdom history improving combat abilities movement arsenal fighting bosses accessing areas
Hollow Knight,4,"a 2d metroidvania with an emphasis on close combat and exploration in which the player enters the insect kingdom of hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing areas. ",metroidvania emphasis close combat exploration player enters insect kingdom hallownest travels various districts meets friendly inhabitants fights hostile ones uncovers kingdom history improving combat abilities movement arsenal fighting bosses accessing areas
Hollow Knight,6,"a 2d metroidvania with an emphasis on close combat and exploration in which the player enters the insect kingdom of hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing areas. ",metroidvania emphasis close combat exploration player enters insect kingdom hallownest travels various districts meets friendly inhabitants fights hostile ones uncovers kingdom history improving combat abilities movement arsenal fighting bosses accessing areas
Minecraft,1,"the game focuses on allowing the player to explore, interact with, and modify a map made of blocks. in addition to blocks, the environment features plants, mobs, and items. some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. the game's model allows players to create structures, creations, and artwork on various multiplayer servers or their maps. other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the nether. a designated but completely optional goal of the game is to travel to a dimension called the end, and defeat the ender dragon. ",game focuses allowing player explore interact modify map made blocks addition blocks environment features plants mobs items activities game include mining ore fighting hostile mobs crafting new blocks tools gathering various resources found game game model allows players create structures creations artwork various multiplayer servers maps features include redstone circuits logic computations remote actions minecarts tracks mysterious underworld called nether designated completely optional goal game travel dimension called end defeat ender dragon
Minecraft,7,"the game focuses on allowing the player to explore, interact with, and modify a map made of blocks. in addition to blocks, the environment features plants, mobs, and items. some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. the game's model allows players to create structures, creations, and artwork on various multiplayer servers or their maps. other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the nether. a designated but completely optional goal of the game is to travel to a dimension called the end, and defeat the ender dragon. ",game focuses allowing player explore interact modify map made blocks addition blocks environment features plants mobs items activities game include mining ore fighting hostile mobs crafting new blocks tools gathering various resources found game game model allows players create structures creations artwork various multiplayer servers maps features include redstone circuits logic computations remote actions minecarts tracks mysterious underworld called nether designated completely optional goal game travel dimension called end defeat ender dragon
Omori,1,"a surreal horror in which a child traverses various mundane, quirky, humourous, mysterious and horrific lands with his friends in search of a missing person while confronting his past and his fears. explore a strange world full of colorful friends and foes. when the time comes, the path youve chosen will determine your fate... and perhaps the fate of others as well. ",surreal horror child traverses various mundane quirky humourous mysterious horrific lands friends search missing person confronting past fears explore strange world full colorful friends foes time comes path youve chosen determine fate perhaps fate others well
Omori,4,"a surreal horror in which a child traverses various mundane, quirky, humourous, mysterious and horrific lands with his friends in search of a missing person while confronting his past and his fears. explore a strange world full of colorful friends and foes. when the time comes, the path youve chosen will determine your fate... and perhaps the fate of others as well. ",surreal horror child traverses various mundane quirky humourous mysterious horrific lands friends search missing person confronting past fears explore strange world full colorful friends foes time comes path youve chosen determine fate perhaps fate others well
Omori,2,"a surreal horror in which a child traverses various mundane, quirky, humourous, mysterious and horrific lands with his friends in search of a missing person while confronting his past and his fears. explore a strange world full of colorful friends and foes. when the time comes, the path youve chosen will determine your fate... and perhaps the fate of others as well. ",surreal horror child traverses various mundane quirky humourous mysterious horrific lands friends search missing person confronting past fears explore strange world full colorful friends foes time comes path youve chosen determine fate perhaps fate others well
Omori,5,"a surreal horror in which a child traverses various mundane, quirky, humourous, mysterious and horrific lands with his friends in search of a missing person while confronting his past and his fears. explore a strange world full of colorful friends and foes. when the time comes, the path youve chosen will determine your fate... and perhaps the fate of others as well. ",surreal horror child traverses various mundane quirky humourous mysterious horrific lands friends search missing person confronting past fears explore strange world full colorful friends foes time comes path youve chosen determine fate perhaps fate others well
Metroid Dread,1,"join intergalactic bounty hunter samus aran in her first new 2d metroid story in 19 years. samus story continues after the events of the metroid fusion game when she descends upon planet zdr to investigate a mysterious transmission sent to the galactic federation. the remote planet has become overrun by vicious alien lifeforms and chilling mechanical menaces. samus is more agile and capable than ever, but can she overcome the inhuman threat stalking the depths of zdr? ",join intergalactic bounty hunter samus aran first new metroid story years samus story continues events metroid fusion game descends upon planet zdr investigate mysterious transmission sent galactic federation remote planet become overrun vicious alien lifeforms chilling mechanical menaces samus agile capable ever overcome inhuman threat stalking depths zdr
Metroid Dread,6,"join intergalactic bounty hunter samus aran in her first new 2d metroid story in 19 years. samus story continues after the events of the metroid fusion game when she descends upon planet zdr to investigate a mysterious transmission sent to the galactic federation. the remote planet has become overrun by vicious alien lifeforms and chilling mechanical menaces. samus is more agile and capable than ever, but can she overcome the inhuman threat stalking the depths of zdr? ",join intergalactic bounty hunter samus aran first new metroid story years samus story continues events metroid fusion game descends upon planet zdr investigate mysterious transmission sent galactic federation remote planet become overrun vicious alien lifeforms chilling mechanical menaces samus agile capable ever overcome inhuman threat stalking depths zdr
Among Us,4,"join your in a multiplayer game of teamwork and betrayal! play with players online or via local wifi as you attempt to prepare your spaceship for departure, but beware as one or more random players among the crew are impostors bent on killing everyone! ",join multiplayer game teamwork betrayal play players online via local wifi attempt prepare spaceship departure beware one random players among crew impostors bent killing everyone
Among Us,8,"join your in a multiplayer game of teamwork and betrayal! play with players online or via local wifi as you attempt to prepare your spaceship for departure, but beware as one or more random players among the crew are impostors bent on killing everyone! ",join multiplayer game teamwork betrayal play players online via local wifi attempt prepare spaceship departure beware one random players among crew impostors bent killing everyone
NieR: Automata,3,"the game tells the story of androids 2b, 9s and a2 and their battle to reclaim the dystopia overrun by powerful machines. ",game tells story androids battle reclaim dystopia overrun powerful machines
NieR: Automata,2,"the game tells the story of androids 2b, 9s and a2 and their battle to reclaim the dystopia overrun by powerful machines. ",game tells story androids battle reclaim dystopia overrun powerful machines
Persona 5 Royal,1,an enhanced version of video game 5 with some new characters and a third semester added to the game. released internationally in 2020. ,enhanced version video game new characters third semester added game released internationally
Persona 5 Royal,2,an enhanced version of video game 5 with some new characters and a third semester added to the game. released internationally in 2020. ,enhanced version video game new characters third semester added game released internationally
Persona 5 Royal,5,an enhanced version of video game 5 with some new characters and a third semester added to the game. released internationally in 2020. ,enhanced version video game new characters third semester added game released internationally
Stray,1,"lost, alone, and separated from family, a stray cat must untangle an ancient mystery to escape a cybercity and find the way home. ",lost alone separated family stray cat must untangle ancient mystery escape cybercity find way home
Stray,4,"lost, alone, and separated from family, a stray cat must untangle an ancient mystery to escape a cybercity and find the way home. ",lost alone separated family stray cat must untangle ancient mystery escape cybercity find way home
God of War,1,"the game is the sequel to the game iii as well as a continuation of the canon the game chronology. unlike previous installments, this game focuses on norse mythology and follows an older and more seasoned kratos and his son atreus in the years since the third game. it is in this harsh, unforgiving world that he must fight to survive and teach his son to do the same. ",game sequel game iii well continuation canon game chronology unlike previous installments game focuses norse mythology follows older seasoned kratos son atreus years since third game harsh unforgiving world must fight survive teach son
God of War,3,"the game is the sequel to the game iii as well as a continuation of the canon the game chronology. unlike previous installments, this game focuses on norse mythology and follows an older and more seasoned kratos and his son atreus in the years since the third game. it is in this harsh, unforgiving world that he must fight to survive and teach his son to do the same. ",game sequel game iii well continuation canon game chronology unlike previous installments game focuses norse mythology follows older seasoned kratos son atreus years since third game harsh unforgiving world must fight survive teach son
God of War,2,"the game is the sequel to the game iii as well as a continuation of the canon the game chronology. unlike previous installments, this game focuses on norse mythology and follows an older and more seasoned kratos and his son atreus in the years since the third game. it is in this harsh, unforgiving world that he must fight to survive and teach his son to do the same. ",game sequel game iii well continuation canon game chronology unlike previous installments game focuses norse mythology follows older seasoned kratos son atreus years since third game harsh unforgiving world must fight survive teach son
Portal 2,1,"sequel to the acclaimed video game (2007), the game pits the protagonist of the original game, chell, and her new robot friend, wheatley, against more s conceived by glados, an a.i. with the sole purpose of testing the video game gun's mechanics and taking revenge on chell for the events of portal. as a result of several interactions and revelations, chell once again pushes to escape aperture science labs. ",sequel acclaimed video game game pits protagonist original game chell new robot friend wheatley conceived glados sole purpose testing video game gun mechanics taking revenge chell events portal result several interactions revelations chell pushes escape aperture science labs
Portal 2,6,"sequel to the acclaimed video game (2007), the game pits the protagonist of the original game, chell, and her new robot friend, wheatley, against more s conceived by glados, an a.i. with the sole purpose of testing the video game gun's mechanics and taking revenge on chell for the events of portal. as a result of several interactions and revelations, chell once again pushes to escape aperture science labs. ",sequel acclaimed video game game pits protagonist original game chell new robot friend wheatley conceived glados sole purpose testing video game gun mechanics taking revenge chell events portal result several interactions revelations chell pushes escape aperture science labs
Portal 2,9,"sequel to the acclaimed video game (2007), the game pits the protagonist of the original game, chell, and her new robot friend, wheatley, against more s conceived by glados, an a.i. with the sole purpose of testing the video game gun's mechanics and taking revenge on chell for the events of portal. as a result of several interactions and revelations, chell once again pushes to escape aperture science labs. ",sequel acclaimed video game game pits protagonist original game chell new robot friend wheatley conceived glados sole purpose testing video game gun mechanics taking revenge chell events portal result several interactions revelations chell pushes escape aperture science labs
Portal 2,10,"sequel to the acclaimed video game (2007), the game pits the protagonist of the original game, chell, and her new robot friend, wheatley, against more s conceived by glados, an a.i. with the sole purpose of testing the video game gun's mechanics and taking revenge on chell for the events of portal. as a result of several interactions and revelations, chell once again pushes to escape aperture science labs. ",sequel acclaimed video game game pits protagonist original game chell new robot friend wheatley conceived glados sole purpose testing video game gun mechanics taking revenge chell events portal result several interactions revelations chell pushes escape aperture science labs
Bloodborne,1,"an action in which the player embodies a hunter who, after being transfused with the mysterious blood local to the city of yharnam, sets off into a ""night of the hunt"", an extended night in which hunters may phase in and out of dream and reality in order to thin the outbreak of abominable beasts that plague the land and, for the more resilient and insightful hunters, uncover the answers to the hunt's many mysteries. ",action player embodies hunter transfused mysterious blood local city yharnam sets night hunt extended night hunters may phase dream reality order thin outbreak abominable beasts plague land resilient insightful hunters uncover answers hunt many mysteries
Bloodborne,2,"an action in which the player embodies a hunter who, after being transfused with the mysterious blood local to the city of yharnam, sets off into a ""night of the hunt"", an extended night in which hunters may phase in and out of dream and reality in order to thin the outbreak of abominable beasts that plague the land and, for the more resilient and insightful hunters, uncover the answers to the hunt's many mysteries. ",action player embodies hunter transfused mysterious blood local city yharnam sets night hunt extended night hunters may phase dream reality order thin outbreak abominable beasts plague land resilient insightful hunters uncover answers hunt many mysteries
Celeste,1,"help madeline survive her inner demons on her journey to the top of the game mountain, in this er from the creators of towerfall. brave hundreds of challenges, uncover devious secrets, and piece together the mystery of the mountain. ",help madeline survive inner demons journey top game mountain er creators towerfall brave hundreds challenges uncover devious secrets piece together mystery mountain
Celeste,4,"help madeline survive her inner demons on her journey to the top of the game mountain, in this er from the creators of towerfall. brave hundreds of challenges, uncover devious secrets, and piece together the mystery of the mountain. ",help madeline survive inner demons journey top game mountain er creators towerfall brave hundreds challenges uncover devious secrets piece together mystery mountain
Celeste,6,"help madeline survive her inner demons on her journey to the top of the game mountain, in this er from the creators of towerfall. brave hundreds of challenges, uncover devious secrets, and piece together the mystery of the mountain. ",help madeline survive inner demons journey top game mountain er creators towerfall brave hundreds challenges uncover devious secrets piece together mystery mountain
Yakuza 0,1,"the glitz, glamour, and unbridled decadence of the 80s are back! the game is a prequel set in 1988 to the video game series, taking place before the first game. fight like hell through tokyo and osaka with protagonist kazuma kiryu and series regular goro majima. play as kazuma kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered. then, step into the shoes of goro majima and explore his normal life as the proprietor of a cabaret club. ",glitz glamour unbridled decadence back game prequel set video game series taking place first game fight like hell tokyo osaka protagonist kazuma kiryu series regular goro majima play kazuma kiryu discover finds world trouble simple debt collection goes wrong mark winds murdered step shoes goro majima explore normal life proprietor cabaret club
Yakuza 0,3,"the glitz, glamour, and unbridled decadence of the 80s are back! the game is a prequel set in 1988 to the video game series, taking place before the first game. fight like hell through tokyo and osaka with protagonist kazuma kiryu and series regular goro majima. play as kazuma kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered. then, step into the shoes of goro majima and explore his normal life as the proprietor of a cabaret club. ",glitz glamour unbridled decadence back game prequel set video game series taking place first game fight like hell tokyo osaka protagonist kazuma kiryu series regular goro majima play kazuma kiryu discover finds world trouble simple debt collection goes wrong mark winds murdered step shoes goro majima explore normal life proprietor cabaret club
Yakuza 0,2,"the glitz, glamour, and unbridled decadence of the 80s are back! the game is a prequel set in 1988 to the video game series, taking place before the first game. fight like hell through tokyo and osaka with protagonist kazuma kiryu and series regular goro majima. play as kazuma kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered. then, step into the shoes of goro majima and explore his normal life as the proprietor of a cabaret club. ",glitz glamour unbridled decadence back game prequel set video game series taking place first game fight like hell tokyo osaka protagonist kazuma kiryu series regular goro majima play kazuma kiryu discover finds world trouble simple debt collection goes wrong mark winds murdered step shoes goro majima explore normal life proprietor cabaret club
Yakuza 0,7,"the glitz, glamour, and unbridled decadence of the 80s are back! the game is a prequel set in 1988 to the video game series, taking place before the first game. fight like hell through tokyo and osaka with protagonist kazuma kiryu and series regular goro majima. play as kazuma kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered. then, step into the shoes of goro majima and explore his normal life as the proprietor of a cabaret club. ",glitz glamour unbridled decadence back game prequel set video game series taking place first game fight like hell tokyo osaka protagonist kazuma kiryu series regular goro majima play kazuma kiryu discover finds world trouble simple debt collection goes wrong mark winds murdered step shoes goro majima explore normal life proprietor cabaret club
Red Dead Redemption 2,1,"the game is the epic tale of outlaw arthur morgan and the infamous van der linde gang, on the run across america at the dawn of the modern age. ",game epic tale outlaw arthur morgan infamous van der linde gang run across america dawn modern age
Red Dead Redemption 2,2,"the game is the epic tale of outlaw arthur morgan and the infamous van der linde gang, on the run across america at the dawn of the modern age. ",game epic tale outlaw arthur morgan infamous van der linde gang run across america dawn modern age
Red Dead Redemption 2,10,"the game is the epic tale of outlaw arthur morgan and the infamous van der linde gang, on the run across america at the dawn of the modern age. ",game epic tale outlaw arthur morgan infamous van der linde gang run across america dawn modern age
Portal,6,"waking up in a seemingly empty laboratory, the player is made to complete various challenges through numerous test chambers in order to test out the new aperture science handheld the game device, without an explanation as to how, why or by whom. ",waking seemingly empty laboratory player made complete various challenges numerous test chambers order test new aperture science handheld game device without explanation
Portal,9,"waking up in a seemingly empty laboratory, the player is made to complete various challenges through numerous test chambers in order to test out the new aperture science handheld the game device, without an explanation as to how, why or by whom. ",waking seemingly empty laboratory player made complete various challenges numerous test chambers order test new aperture science handheld game device without explanation
Portal,10,"waking up in a seemingly empty laboratory, the player is made to complete various challenges through numerous test chambers in order to test out the new aperture science handheld the game device, without an explanation as to how, why or by whom. ",waking seemingly empty laboratory player made complete various challenges numerous test chambers order test new aperture science handheld game device without explanation
Super Mario Odyssey,1,"explore incredible places far from the mushroom kingdom as you join mario and his new ally cappy on a massive, 3d . use amazing new abilities, like the power to capture and control objects, animals, and enemies to collect power moons so you can power up the odyssey airship and save princess peach from bowsers wedding plans! ",explore incredible places far mushroom kingdom join mario new ally cappy massive use amazing new abilities like power capture control objects animals enemies collect power moons power odyssey airship save princess peach bowsers wedding plans
Super Mario Odyssey,6,"explore incredible places far from the mushroom kingdom as you join mario and his new ally cappy on a massive, 3d . use amazing new abilities, like the power to capture and control objects, animals, and enemies to collect power moons so you can power up the odyssey airship and save princess peach from bowsers wedding plans! ",explore incredible places far mushroom kingdom join mario new ally cappy massive use amazing new abilities like power capture control objects animals enemies collect power moons power odyssey airship save princess peach bowsers wedding plans
Pokémon Legends: Arceus,1,"the the game game honors past pokemon games core gameplay while infusing new action and youll need to catch, survey, and research wild pokemon in a era of the sinnoh region to create and complete the regions first pokedex. ",game game honors past pokemon games core gameplay infusing new action youll need catch survey research wild pokemon era sinnoh region create complete regions first pokedex
Pokémon Legends: Arceus,2,"the the game game honors past pokemon games core gameplay while infusing new action and youll need to catch, survey, and research wild pokemon in a era of the sinnoh region to create and complete the regions first pokedex. ",game game honors past pokemon games core gameplay infusing new action youll need catch survey research wild pokemon era sinnoh region create complete regions first pokedex
Pokémon Legends: Arceus,5,"the the game game honors past pokemon games core gameplay while infusing new action and youll need to catch, survey, and research wild pokemon in a era of the sinnoh region to create and complete the regions first pokedex. ",game game honors past pokemon games core gameplay infusing new action youll need catch survey research wild pokemon era sinnoh region create complete regions first pokedex
Hi-Fi Rush,1,"as wannabe rockstar chai, youll fight back against a sinister robotics enhancement conglomerate using combat where everything from the motion in the environment to the blows of combat is synced to the . ",wannabe rockstar chai youll fight back sinister robotics enhancement conglomerate using combat everything motion environment blows combat synced
Hi-Fi Rush,3,"as wannabe rockstar chai, youll fight back against a sinister robotics enhancement conglomerate using combat where everything from the motion in the environment to the blows of combat is synced to the . ",wannabe rockstar chai youll fight back sinister robotics enhancement conglomerate using combat everything motion environment blows combat synced
Hi-Fi Rush,11,"as wannabe rockstar chai, youll fight back against a sinister robotics enhancement conglomerate using combat where everything from the motion in the environment to the blows of combat is synced to the . ",wannabe rockstar chai youll fight back sinister robotics enhancement conglomerate using combat everything motion environment blows combat synced
Hi-Fi Rush,6,"as wannabe rockstar chai, youll fight back against a sinister robotics enhancement conglomerate using combat where everything from the motion in the environment to the blows of combat is synced to the . ",wannabe rockstar chai youll fight back sinister robotics enhancement conglomerate using combat everything motion environment blows combat synced
Metal Gear Rising: Revengeance,1,"developed by kojima productions and platinumgames, the game takes the renowned metal gear franchise into exciting new territory with an action experience. the game seamlessly melds pure action and epic that surrounds raiden a child soldier transformed into a ninja who uses his high frequency katana blade to cut through any thing that stands in his vengeful a huge success on both xbox 360 and playstation3, the game comes to pc with all the famed moves and action running within a hd this new pc version includes all three dlc missions: blade wolf, jetstream, and vr missions, in addition to all customized body upgrades for raiden, including: white armor, inferno armor, commando armor, raidens mgs4 body, and the cyborg ""cutscenes"" option added to the main menu. play any and all ""codecs"" option added to the main menu. play all and any codec conversation menu option added to the chapter menu enabling user to play only the boss ""graphic options"" added to the options menu. modify resolution, there is an option reading ""zangeki"" that will modify the amount of cuts you can make. ",developed kojima productions platinumgames game takes renowned metal gear franchise exciting new territory action experience game seamlessly melds pure action epic surrounds raiden child soldier transformed ninja uses high frequency katana blade cut thing stands vengeful huge success xbox game comes pc famed moves action running within hd new pc version includes three dlc missions blade wolf jetstream vr missions addition customized body upgrades raiden including white armor inferno armor commando armor raidens body cyborg cutscenes option added main menu play codecs option added main menu play codec conversation menu option added chapter menu enabling user play boss graphic options added options menu modify resolution option reading zangeki modify amount cuts make
Metal Gear Rising: Revengeance,3,"developed by kojima productions and platinumgames, the game takes the renowned metal gear franchise into exciting new territory with an action experience. the game seamlessly melds pure action and epic that surrounds raiden a child soldier transformed into a ninja who uses his high frequency katana blade to cut through any thing that stands in his vengeful a huge success on both xbox 360 and playstation3, the game comes to pc with all the famed moves and action running within a hd this new pc version includes all three dlc missions: blade wolf, jetstream, and vr missions, in addition to all customized body upgrades for raiden, including: white armor, inferno armor, commando armor, raidens mgs4 body, and the cyborg ""cutscenes"" option added to the main menu. play any and all ""codecs"" option added to the main menu. play all and any codec conversation menu option added to the chapter menu enabling user to play only the boss ""graphic options"" added to the options menu. modify resolution, there is an option reading ""zangeki"" that will modify the amount of cuts you can make. ",developed kojima productions platinumgames game takes renowned metal gear franchise exciting new territory action experience game seamlessly melds pure action epic surrounds raiden child soldier transformed ninja uses high frequency katana blade cut thing stands vengeful huge success xbox game comes pc famed moves action running within hd new pc version includes three dlc missions blade wolf jetstream vr missions addition customized body upgrades raiden including white armor inferno armor commando armor raidens body cyborg cutscenes option added main menu play codecs option added main menu play codec conversation menu option added chapter menu enabling user play boss graphic options added options menu modify resolution option reading zangeki modify amount cuts make
Metal Gear Rising: Revengeance,10,"developed by kojima productions and platinumgames, the game takes the renowned metal gear franchise into exciting new territory with an action experience. the game seamlessly melds pure action and epic that surrounds raiden a child soldier transformed into a ninja who uses his high frequency katana blade to cut through any thing that stands in his vengeful a huge success on both xbox 360 and playstation3, the game comes to pc with all the famed moves and action running within a hd this new pc version includes all three dlc missions: blade wolf, jetstream, and vr missions, in addition to all customized body upgrades for raiden, including: white armor, inferno armor, commando armor, raidens mgs4 body, and the cyborg ""cutscenes"" option added to the main menu. play any and all ""codecs"" option added to the main menu. play all and any codec conversation menu option added to the chapter menu enabling user to play only the boss ""graphic options"" added to the options menu. modify resolution, there is an option reading ""zangeki"" that will modify the amount of cuts you can make. ",developed kojima productions platinumgames game takes renowned metal gear franchise exciting new territory action experience game seamlessly melds pure action epic surrounds raiden child soldier transformed ninja uses high frequency katana blade cut thing stands vengeful huge success xbox game comes pc famed moves action running within hd new pc version includes three dlc missions blade wolf jetstream vr missions addition customized body upgrades raiden including white armor inferno armor commando armor raidens body cyborg cutscenes option added main menu play codecs option added main menu play codec conversation menu option added chapter menu enabling user play boss graphic options added options menu modify resolution option reading zangeki modify amount cuts make
Metal Gear Rising: Revengeance,8,"developed by kojima productions and platinumgames, the game takes the renowned metal gear franchise into exciting new territory with an action experience. the game seamlessly melds pure action and epic that surrounds raiden a child soldier transformed into a ninja who uses his high frequency katana blade to cut through any thing that stands in his vengeful a huge success on both xbox 360 and playstation3, the game comes to pc with all the famed moves and action running within a hd this new pc version includes all three dlc missions: blade wolf, jetstream, and vr missions, in addition to all customized body upgrades for raiden, including: white armor, inferno armor, commando armor, raidens mgs4 body, and the cyborg ""cutscenes"" option added to the main menu. play any and all ""codecs"" option added to the main menu. play all and any codec conversation menu option added to the chapter menu enabling user to play only the boss ""graphic options"" added to the options menu. modify resolution, there is an option reading ""zangeki"" that will modify the amount of cuts you can make. ",developed kojima productions platinumgames game takes renowned metal gear franchise exciting new territory action experience game seamlessly melds pure action epic surrounds raiden child soldier transformed ninja uses high frequency katana blade cut thing stands vengeful huge success xbox game comes pc famed moves action running within hd new pc version includes three dlc missions blade wolf jetstream vr missions addition customized body upgrades raiden including white armor inferno armor commando armor raidens body cyborg cutscenes option added main menu play codecs option added main menu play codec conversation menu option added chapter menu enabling user play boss graphic options added options menu modify resolution option reading zangeki modify amount cuts make
Grand Theft Auto V,1,"the game is a vast open world game set in los santos, a sprawling metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality tv. the game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the games three lead characters, playing all sides of the games interwoven story. ",game vast open world game set los santos sprawling metropolis struggling stay afloat era economic uncertainty cheap reality tv game blends storytelling gameplay new ways players repeatedly jump lives games three lead characters playing sides games interwoven story
Grand Theft Auto V,10,"the game is a vast open world game set in los santos, a sprawling metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality tv. the game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the games three lead characters, playing all sides of the games interwoven story. ",game vast open world game set los santos sprawling metropolis struggling stay afloat era economic uncertainty cheap reality tv game blends storytelling gameplay new ways players repeatedly jump lives games three lead characters playing sides games interwoven story
