Title,Genre,Summary
Hollow Knight,6,"a 2d metroidvania with an emphasis on close combat and exploration in which the player enters the insect kingdom of hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing areas. "
Minecraft,1,"the game focuses on allowing the player to explore, interact with, and modify a map made of blocks. in addition to blocks, the environment features plants, mobs, and items. some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. the game's model allows players to create structures, creations, and artwork on various multiplayer servers or their maps. other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the nether. a designated but completely optional goal of the game is to travel to a dimension called the end, and defeat the ender dragon. "
Minecraft,7,"the game focuses on allowing the player to explore, interact with, and modify a map made of blocks. in addition to blocks, the environment features plants, mobs, and items. some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. the game's model allows players to create structures, creations, and artwork on various multiplayer servers or their maps. other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the nether. a designated but completely optional goal of the game is to travel to a dimension called the end, and defeat the ender dragon. "
Omori,1,"a surreal horror in which a child traverses various mundane, quirky, humourous, mysterious and horrific lands with his friends in search of a missing person while confronting his past and his fears. explore a strange world full of colorful friends and foes. when the time comes, the path youve chosen will determine your fate... and perhaps the fate of others as well. "
Omori,4,"a surreal horror in which a child traverses various mundane, quirky, humourous, mysterious and horrific lands with his friends in search of a missing person while confronting his past and his fears. explore a strange world full of colorful friends and foes. when the time comes, the path youve chosen will determine your fate... and perhaps the fate of others as well. "
Omori,2,"a surreal horror in which a child traverses various mundane, quirky, humourous, mysterious and horrific lands with his friends in search of a missing person while confronting his past and his fears. explore a strange world full of colorful friends and foes. when the time comes, the path youve chosen will determine your fate... and perhaps the fate of others as well. "
Omori,5,"a surreal horror in which a child traverses various mundane, quirky, humourous, mysterious and horrific lands with his friends in search of a missing person while confronting his past and his fears. explore a strange world full of colorful friends and foes. when the time comes, the path youve chosen will determine your fate... and perhaps the fate of others as well. "
Metroid Dread,1,"join intergalactic bounty hunter samus aran in her first new 2d metroid story in 19 years. samus story continues after the events of the metroid fusion game when she descends upon planet zdr to investigate a mysterious transmission sent to the galactic federation. the remote planet has become overrun by vicious alien lifeforms and chilling mechanical menaces. samus is more agile and capable than ever, but can she overcome the inhuman threat stalking the depths of zdr? "
Metroid Dread,6,"join intergalactic bounty hunter samus aran in her first new 2d metroid story in 19 years. samus story continues after the events of the metroid fusion game when she descends upon planet zdr to investigate a mysterious transmission sent to the galactic federation. the remote planet has become overrun by vicious alien lifeforms and chilling mechanical menaces. samus is more agile and capable than ever, but can she overcome the inhuman threat stalking the depths of zdr? "
Among Us,4,"join your in a multiplayer game of teamwork and betrayal! play with players online or via local wifi as you attempt to prepare your spaceship for departure, but beware as one or more random players among the crew are impostors bent on killing everyone! "
Among Us,8,"join your in a multiplayer game of teamwork and betrayal! play with players online or via local wifi as you attempt to prepare your spaceship for departure, but beware as one or more random players among the crew are impostors bent on killing everyone! "
NieR: Automata,3,"the game tells the story of androids 2b, 9s and a2 and their battle to reclaim the dystopia overrun by powerful machines. "
NieR: Automata,2,"the game tells the story of androids 2b, 9s and a2 and their battle to reclaim the dystopia overrun by powerful machines. "
Persona 5 Royal,1,an enhanced version of video game 5 with some new characters and a third semester added to the game. released internationally in 2020. 
Persona 5 Royal,2,an enhanced version of video game 5 with some new characters and a third semester added to the game. released internationally in 2020. 
Persona 5 Royal,5,an enhanced version of video game 5 with some new characters and a third semester added to the game. released internationally in 2020. 
Stray,1,"lost, alone, and separated from family, a stray cat must untangle an ancient mystery to escape a cybercity and find the way home. "
Stray,4,"lost, alone, and separated from family, a stray cat must untangle an ancient mystery to escape a cybercity and find the way home. "
God of War,1,"the game is the sequel to the game iii as well as a continuation of the canon the game chronology. unlike previous installments, this game focuses on norse mythology and follows an older and more seasoned kratos and his son atreus in the years since the third game. it is in this harsh, unforgiving world that he must fight to survive and teach his son to do the same. "
God of War,3,"the game is the sequel to the game iii as well as a continuation of the canon the game chronology. unlike previous installments, this game focuses on norse mythology and follows an older and more seasoned kratos and his son atreus in the years since the third game. it is in this harsh, unforgiving world that he must fight to survive and teach his son to do the same. "
God of War,2,"the game is the sequel to the game iii as well as a continuation of the canon the game chronology. unlike previous installments, this game focuses on norse mythology and follows an older and more seasoned kratos and his son atreus in the years since the third game. it is in this harsh, unforgiving world that he must fight to survive and teach his son to do the same. "
Portal 2,1,"sequel to the acclaimed video game (2007), the game pits the protagonist of the original game, chell, and her new robot friend, wheatley, against more s conceived by glados, an a.i. with the sole purpose of testing the video game gun's mechanics and taking revenge on chell for the events of portal. as a result of several interactions and revelations, chell once again pushes to escape aperture science labs. "
Portal 2,6,"sequel to the acclaimed video game (2007), the game pits the protagonist of the original game, chell, and her new robot friend, wheatley, against more s conceived by glados, an a.i. with the sole purpose of testing the video game gun's mechanics and taking revenge on chell for the events of portal. as a result of several interactions and revelations, chell once again pushes to escape aperture science labs. "
Portal 2,9,"sequel to the acclaimed video game (2007), the game pits the protagonist of the original game, chell, and her new robot friend, wheatley, against more s conceived by glados, an a.i. with the sole purpose of testing the video game gun's mechanics and taking revenge on chell for the events of portal. as a result of several interactions and revelations, chell once again pushes to escape aperture science labs. "
Portal 2,10,"sequel to the acclaimed video game (2007), the game pits the protagonist of the original game, chell, and her new robot friend, wheatley, against more s conceived by glados, an a.i. with the sole purpose of testing the video game gun's mechanics and taking revenge on chell for the events of portal. as a result of several interactions and revelations, chell once again pushes to escape aperture science labs. "
Bloodborne,1,"an action in which the player embodies a hunter who, after being transfused with the mysterious blood local to the city of yharnam, sets off into a ""night of the hunt"", an extended night in which hunters may phase in and out of dream and reality in order to thin the outbreak of abominable beasts that plague the land and, for the more resilient and insightful hunters, uncover the answers to the hunt's many mysteries. "
Bloodborne,2,"an action in which the player embodies a hunter who, after being transfused with the mysterious blood local to the city of yharnam, sets off into a ""night of the hunt"", an extended night in which hunters may phase in and out of dream and reality in order to thin the outbreak of abominable beasts that plague the land and, for the more resilient and insightful hunters, uncover the answers to the hunt's many mysteries. "
Celeste,1,"help madeline survive her inner demons on her journey to the top of the game mountain, in this er from the creators of towerfall. brave hundreds of challenges, uncover devious secrets, and piece together the mystery of the mountain. "
Celeste,4,"help madeline survive her inner demons on her journey to the top of the game mountain, in this er from the creators of towerfall. brave hundreds of challenges, uncover devious secrets, and piece together the mystery of the mountain. "
Celeste,6,"help madeline survive her inner demons on her journey to the top of the game mountain, in this er from the creators of towerfall. brave hundreds of challenges, uncover devious secrets, and piece together the mystery of the mountain. "
Yakuza 0,1,"the glitz, glamour, and unbridled decadence of the 80s are back! the game is a prequel set in 1988 to the video game series, taking place before the first game. fight like hell through tokyo and osaka with protagonist kazuma kiryu and series regular goro majima. play as kazuma kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered. then, step into the shoes of goro majima and explore his normal life as the proprietor of a cabaret club. "
Yakuza 0,3,"the glitz, glamour, and unbridled decadence of the 80s are back! the game is a prequel set in 1988 to the video game series, taking place before the first game. fight like hell through tokyo and osaka with protagonist kazuma kiryu and series regular goro majima. play as kazuma kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered. then, step into the shoes of goro majima and explore his normal life as the proprietor of a cabaret club. "
Yakuza 0,2,"the glitz, glamour, and unbridled decadence of the 80s are back! the game is a prequel set in 1988 to the video game series, taking place before the first game. fight like hell through tokyo and osaka with protagonist kazuma kiryu and series regular goro majima. play as kazuma kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered. then, step into the shoes of goro majima and explore his normal life as the proprietor of a cabaret club. "
Yakuza 0,7,"the glitz, glamour, and unbridled decadence of the 80s are back! the game is a prequel set in 1988 to the video game series, taking place before the first game. fight like hell through tokyo and osaka with protagonist kazuma kiryu and series regular goro majima. play as kazuma kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered. then, step into the shoes of goro majima and explore his normal life as the proprietor of a cabaret club. "
Red Dead Redemption 2,1,"the game is the epic tale of outlaw arthur morgan and the infamous van der linde gang, on the run across america at the dawn of the modern age. "
Red Dead Redemption 2,2,"the game is the epic tale of outlaw arthur morgan and the infamous van der linde gang, on the run across america at the dawn of the modern age. "
Red Dead Redemption 2,10,"the game is the epic tale of outlaw arthur morgan and the infamous van der linde gang, on the run across america at the dawn of the modern age. "
Portal,6,"waking up in a seemingly empty laboratory, the player is made to complete various challenges through numerous test chambers in order to test out the new aperture science handheld the game device, without an explanation as to how, why or by whom. "
Portal,9,"waking up in a seemingly empty laboratory, the player is made to complete various challenges through numerous test chambers in order to test out the new aperture science handheld the game device, without an explanation as to how, why or by whom. "
Portal,10,"waking up in a seemingly empty laboratory, the player is made to complete various challenges through numerous test chambers in order to test out the new aperture science handheld the game device, without an explanation as to how, why or by whom. "
Super Mario Odyssey,1,"explore incredible places far from the mushroom kingdom as you join mario and his new ally cappy on a massive, 3d . use amazing new abilities, like the power to capture and control objects, animals, and enemies to collect power moons so you can power up the odyssey airship and save princess peach from bowsers wedding plans! "
Super Mario Odyssey,6,"explore incredible places far from the mushroom kingdom as you join mario and his new ally cappy on a massive, 3d . use amazing new abilities, like the power to capture and control objects, animals, and enemies to collect power moons so you can power up the odyssey airship and save princess peach from bowsers wedding plans! "
Pokémon Legends: Arceus,1,"the the game game honors past pokemon games core gameplay while infusing new action and youll need to catch, survey, and research wild pokemon in a era of the sinnoh region to create and complete the regions first pokedex. "
Pokémon Legends: Arceus,2,"the the game game honors past pokemon games core gameplay while infusing new action and youll need to catch, survey, and research wild pokemon in a era of the sinnoh region to create and complete the regions first pokedex. "
Pokémon Legends: Arceus,5,"the the game game honors past pokemon games core gameplay while infusing new action and youll need to catch, survey, and research wild pokemon in a era of the sinnoh region to create and complete the regions first pokedex. "
Hi-Fi Rush,1,"as wannabe rockstar chai, youll fight back against a sinister robotics enhancement conglomerate using combat where everything from the motion in the environment to the blows of combat is synced to the . "
Hi-Fi Rush,3,"as wannabe rockstar chai, youll fight back against a sinister robotics enhancement conglomerate using combat where everything from the motion in the environment to the blows of combat is synced to the . "
Hi-Fi Rush,11,"as wannabe rockstar chai, youll fight back against a sinister robotics enhancement conglomerate using combat where everything from the motion in the environment to the blows of combat is synced to the . "
Hi-Fi Rush,6,"as wannabe rockstar chai, youll fight back against a sinister robotics enhancement conglomerate using combat where everything from the motion in the environment to the blows of combat is synced to the . "
Metal Gear Rising: Revengeance,1,"developed by kojima productions and platinumgames, the game takes the renowned metal gear franchise into exciting new territory with an action experience. the game seamlessly melds pure action and epic that surrounds raiden a child soldier transformed into a ninja who uses his high frequency katana blade to cut through any thing that stands in his vengeful a huge success on both xbox 360 and playstation3, the game comes to pc with all the famed moves and action running within a hd this new pc version includes all three dlc missions: blade wolf, jetstream, and vr missions, in addition to all customized body upgrades for raiden, including: white armor, inferno armor, commando armor, raidens mgs4 body, and the cyborg ""cutscenes"" option added to the main menu. play any and all ""codecs"" option added to the main menu. play all and any codec conversation menu option added to the chapter menu enabling user to play only the boss ""graphic options"" added to the options menu. modify resolution, there is an option reading ""zangeki"" that will modify the amount of cuts you can make. "
Metal Gear Rising: Revengeance,3,"developed by kojima productions and platinumgames, the game takes the renowned metal gear franchise into exciting new territory with an action experience. the game seamlessly melds pure action and epic that surrounds raiden a child soldier transformed into a ninja who uses his high frequency katana blade to cut through any thing that stands in his vengeful a huge success on both xbox 360 and playstation3, the game comes to pc with all the famed moves and action running within a hd this new pc version includes all three dlc missions: blade wolf, jetstream, and vr missions, in addition to all customized body upgrades for raiden, including: white armor, inferno armor, commando armor, raidens mgs4 body, and the cyborg ""cutscenes"" option added to the main menu. play any and all ""codecs"" option added to the main menu. play all and any codec conversation menu option added to the chapter menu enabling user to play only the boss ""graphic options"" added to the options menu. modify resolution, there is an option reading ""zangeki"" that will modify the amount of cuts you can make. "
Metal Gear Rising: Revengeance,10,"developed by kojima productions and platinumgames, the game takes the renowned metal gear franchise into exciting new territory with an action experience. the game seamlessly melds pure action and epic that surrounds raiden a child soldier transformed into a ninja who uses his high frequency katana blade to cut through any thing that stands in his vengeful a huge success on both xbox 360 and playstation3, the game comes to pc with all the famed moves and action running within a hd this new pc version includes all three dlc missions: blade wolf, jetstream, and vr missions, in addition to all customized body upgrades for raiden, including: white armor, inferno armor, commando armor, raidens mgs4 body, and the cyborg ""cutscenes"" option added to the main menu. play any and all ""codecs"" option added to the main menu. play all and any codec conversation menu option added to the chapter menu enabling user to play only the boss ""graphic options"" added to the options menu. modify resolution, there is an option reading ""zangeki"" that will modify the amount of cuts you can make. "
Metal Gear Rising: Revengeance,8,"developed by kojima productions and platinumgames, the game takes the renowned metal gear franchise into exciting new territory with an action experience. the game seamlessly melds pure action and epic that surrounds raiden a child soldier transformed into a ninja who uses his high frequency katana blade to cut through any thing that stands in his vengeful a huge success on both xbox 360 and playstation3, the game comes to pc with all the famed moves and action running within a hd this new pc version includes all three dlc missions: blade wolf, jetstream, and vr missions, in addition to all customized body upgrades for raiden, including: white armor, inferno armor, commando armor, raidens mgs4 body, and the cyborg ""cutscenes"" option added to the main menu. play any and all ""codecs"" option added to the main menu. play all and any codec conversation menu option added to the chapter menu enabling user to play only the boss ""graphic options"" added to the options menu. modify resolution, there is an option reading ""zangeki"" that will modify the amount of cuts you can make. "
Grand Theft Auto V,1,"the game is a vast open world game set in los santos, a sprawling metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality tv. the game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the games three lead characters, playing all sides of the games interwoven story. "
Grand Theft Auto V,10,"the game is a vast open world game set in los santos, a sprawling metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality tv. the game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the games three lead characters, playing all sides of the games interwoven story. "
Cyberpunk 2077,1,"the game is an story set in night city, a megalopolis obsessed with power, glamour and body modification. you play as v, a mercenary outlaw going after a implant that is the key to immortality. you can customize your characters cyberware, skillset and playstyle, and explore a vast city where the choices you make shape the story and the world around you. "
Cyberpunk 2077,2,"the game is an story set in night city, a megalopolis obsessed with power, glamour and body modification. you play as v, a mercenary outlaw going after a implant that is the key to immortality. you can customize your characters cyberware, skillset and playstyle, and explore a vast city where the choices you make shape the story and the world around you. "
Cyberpunk 2077,10,"the game is an story set in night city, a megalopolis obsessed with power, glamour and body modification. you play as v, a mercenary outlaw going after a implant that is the key to immortality. you can customize your characters cyberware, skillset and playstyle, and explore a vast city where the choices you make shape the story and the world around you. "
God of War Ragnarök,1,"god of war: ragnark is the ninth installment in the god of war series and the sequel to 2018's god of war. continuing with the norse mythology theme, the game is set in ancient norway and feature series protagonists kratos, the former greek god of war, and his young son atreus. the game is expected to kick off the events of ragnark, where kratos and atreus must journey to each of the nine realms in search of answers as they prepare for the prophesied battle that will end the world. "
God of War Ragnarök,3,"god of war: ragnark is the ninth installment in the god of war series and the sequel to 2018's god of war. continuing with the norse mythology theme, the game is set in ancient norway and feature series protagonists kratos, the former greek god of war, and his young son atreus. the game is expected to kick off the events of ragnark, where kratos and atreus must journey to each of the nine realms in search of answers as they prepare for the prophesied battle that will end the world. "
Xenoblade Chronicles 3,1,"a vast world awaits in the game, the next game in the acclaimed series from developer monolithsoft. players will step into the roles of protagonists noah and mio amid turmoil between the hostile nations of keves and agnus. six characters hailing from those nations will take part in a grand tale with life as its central theme. explore a new world that will connect the futures of both video game and video game 2. "
Xenoblade Chronicles 3,2,"a vast world awaits in the game, the next game in the acclaimed series from developer monolithsoft. players will step into the roles of protagonists noah and mio amid turmoil between the hostile nations of keves and agnus. six characters hailing from those nations will take part in a grand tale with life as its central theme. explore a new world that will connect the futures of both video game and video game 2. "
Kirby and the Forgotten Land,1,"join kirby in an unforgettable journey through a mysterious world in a delightful 3d ing . take control of the powerful pink puffball, kirby, and move around freely in 3d stages as you discover a mysterious world with abandoned structures from a past civilization like a shopping mall?! copy enemies abilities like sword and ice and use them to attack and explore your surroundings! what journey awaits kirby? take a deep breath and get ready for an unforgettable ! "
Kirby and the Forgotten Land,6,"join kirby in an unforgettable journey through a mysterious world in a delightful 3d ing . take control of the powerful pink puffball, kirby, and move around freely in 3d stages as you discover a mysterious world with abandoned structures from a past civilization like a shopping mall?! copy enemies abilities like sword and ice and use them to attack and explore your surroundings! what journey awaits kirby? take a deep breath and get ready for an unforgettable ! "
Disco Elysium: The Final Cut,1,"the game is a groundbreaking role playing game. youre a detective with a unique skill system at your disposal and a whole city to carve your path across. interrogate unforgettable characters, crack murders or take bribes. become a hero or an absolute disaster of a human being.video game adds full voice acting to the game, as well as new quests, more characters and fresh explorable areas. "
Disco Elysium: The Final Cut,4,"the game is a groundbreaking role playing game. youre a detective with a unique skill system at your disposal and a whole city to carve your path across. interrogate unforgettable characters, crack murders or take bribes. become a hero or an absolute disaster of a human being.video game adds full voice acting to the game, as well as new quests, more characters and fresh explorable areas. "
Disco Elysium: The Final Cut,2,"the game is a groundbreaking role playing game. youre a detective with a unique skill system at your disposal and a whole city to carve your path across. interrogate unforgettable characters, crack murders or take bribes. become a hero or an absolute disaster of a human being.video game adds full voice acting to the game, as well as new quests, more characters and fresh explorable areas. "
Marvel's Spider-Man,1,"starring the worlds most iconic super hero, features the acrobatic abilities, improvisation and that the is famous for, while also introducing elements in a game. from traversing with parkour and utilizing the environment, to new combat and blockbuster set pieces, its unlike any youve played before. "
Marvel's Spider-Man,3,"starring the worlds most iconic super hero, features the acrobatic abilities, improvisation and that the is famous for, while also introducing elements in a game. from traversing with parkour and utilizing the environment, to new combat and blockbuster set pieces, its unlike any youve played before. "
Dark Souls III,1,"dark souls continues to push the boundaries with the latest, ambitious chapter in the and series. prepare yourself and embrace the darkness! "
Dark Souls III,2,"dark souls continues to push the boundaries with the latest, ambitious chapter in the and series. prepare yourself and embrace the darkness! "
NieR Replicant ver.1.22474487139...,1,"the game is an updated version of nier replicant, previously only released in japan. discover the prequel to the masterpiece nier: automata. now with a modern upgrade, experience masterfully revived visuals, a fascinating storyline and more! "
NieR Replicant ver.1.22474487139...,2,"the game is an updated version of nier replicant, previously only released in japan. discover the prequel to the masterpiece nier: automata. now with a modern upgrade, experience masterfully revived visuals, a fascinating storyline and more! "
Super Mario 64,1,"the first three dimensional entry in the mario franchise, the game follows mario as he puts his broadened 3d movement arsenal to use in order to rescue princess peach from the clutches of his arch rival bowser. mario has to jump into ornamenting the walls of peach's castle, uncover secrets and hidden challenges and collect golden stars as reward for ing trials. "
Super Mario 64,6,"the first three dimensional entry in the mario franchise, the game follows mario as he puts his broadened 3d movement arsenal to use in order to rescue princess peach from the clutches of his arch rival bowser. mario has to jump into ornamenting the walls of peach's castle, uncover secrets and hidden challenges and collect golden stars as reward for ing trials. "
Super Smash Bros. Ultimate,12,"legendary game worlds and fighters collide in the ultimate showdowna new entry in the super smash bros. series for the nintendo switch system! new fighters, like inkling from the splatoon series and ridley from the metroid series, make their super smash bros. series debut alongside every super smash bros. fighter in the seriesever! faster combat, new items, new attacks, new defensive options, and more will keep the battle raging whether youre at home or on the go. "
Super Smash Bros. Ultimate,6,"legendary game worlds and fighters collide in the ultimate showdowna new entry in the super smash bros. series for the nintendo switch system! new fighters, like inkling from the splatoon series and ridley from the metroid series, make their super smash bros. series debut alongside every super smash bros. fighter in the seriesever! faster combat, new items, new attacks, new defensive options, and more will keep the battle raging whether youre at home or on the go. "
Cuphead,13,"the game is a classic run and gun action game heavily focused on boss battles. inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional cel animation (hand drawn & hand inked!), watercolor backgrounds, and original jazz recordings. play as the game or mugman (in single player or as you traverse strange worlds, acquire new weapons, learn powerful super moves, and discover hidden secrets. the game is all action, all the time. "
Cuphead,4,"the game is a classic run and gun action game heavily focused on boss battles. inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional cel animation (hand drawn & hand inked!), watercolor backgrounds, and original jazz recordings. play as the game or mugman (in single player or as you traverse strange worlds, acquire new weapons, learn powerful super moves, and discover hidden secrets. the game is all action, all the time. "
Cuphead,6,"the game is a classic run and gun action game heavily focused on boss battles. inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional cel animation (hand drawn & hand inked!), watercolor backgrounds, and original jazz recordings. play as the game or mugman (in single player or as you traverse strange worlds, acquire new weapons, learn powerful super moves, and discover hidden secrets. the game is all action, all the time. "
Cuphead,10,"the game is a classic run and gun action game heavily focused on boss battles. inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional cel animation (hand drawn & hand inked!), watercolor backgrounds, and original jazz recordings. play as the game or mugman (in single player or as you traverse strange worlds, acquire new weapons, learn powerful super moves, and discover hidden secrets. the game is all action, all the time. "
Sekiro: Shadows Die Twice,1,"enter a dark and brutal new gameplay experience from the creators of bloodborne and the dark souls series. the game is an intense, set against the bloody backdrop of japan. step into the role of a disgraced warrior brought back from the brink of death whose mission is to rescue his master and exact revenge on his arch take revenge. restore your honor. kill ingeniously. "
Sekiro: Shadows Die Twice,3,"enter a dark and brutal new gameplay experience from the creators of bloodborne and the dark souls series. the game is an intense, set against the bloody backdrop of japan. step into the role of a disgraced warrior brought back from the brink of death whose mission is to rescue his master and exact revenge on his arch take revenge. restore your honor. kill ingeniously. "
Final Fantasy VII,1,"the game is the seventh main installment in the final fantasy series, and was the first title to feature graphics, backgrounds and numerous full motion the gameplay is a departure from previous entries in the series in many ways. though it retains the active time battle based menu command system, ffvii features three party members rather than four. the materia system allows the player to customize each party member's abilities to their liking, and the limit system grants them unique combat though minigames had been a recurring feature, ffvii introduces numerous new ones, many of them playable in the theme park gold saucer varying from racing with chocobos to snowboarding. "
Final Fantasy VII,2,"the game is the seventh main installment in the final fantasy series, and was the first title to feature graphics, backgrounds and numerous full motion the gameplay is a departure from previous entries in the series in many ways. though it retains the active time battle based menu command system, ffvii features three party members rather than four. the materia system allows the player to customize each party member's abilities to their liking, and the limit system grants them unique combat though minigames had been a recurring feature, ffvii introduces numerous new ones, many of them playable in the theme park gold saucer varying from racing with chocobos to snowboarding. "
Final Fantasy VII,5,"the game is the seventh main installment in the final fantasy series, and was the first title to feature graphics, backgrounds and numerous full motion the gameplay is a departure from previous entries in the series in many ways. though it retains the active time battle based menu command system, ffvii features three party members rather than four. the materia system allows the player to customize each party member's abilities to their liking, and the limit system grants them unique combat though minigames had been a recurring feature, ffvii introduces numerous new ones, many of them playable in the theme park gold saucer varying from racing with chocobos to snowboarding. "
Persona 4 Golden,1,"an enhanced rerelease of shin megami tensei: video game 4 (2008) featuring improvements, gameplay enhancements, new locations, balance tweaks, online functionality, new difficulty options, an additional side character storyline and a changed endgame. "
Persona 4 Golden,2,"an enhanced rerelease of shin megami tensei: video game 4 (2008) featuring improvements, gameplay enhancements, new locations, balance tweaks, online functionality, new difficulty options, an additional side character storyline and a changed endgame. "
Persona 4 Golden,7,"an enhanced rerelease of shin megami tensei: video game 4 (2008) featuring improvements, gameplay enhancements, new locations, balance tweaks, online functionality, new difficulty options, an additional side character storyline and a changed endgame. "
Persona 4 Golden,14,"an enhanced rerelease of shin megami tensei: video game 4 (2008) featuring improvements, gameplay enhancements, new locations, balance tweaks, online functionality, new difficulty options, an additional side character storyline and a changed endgame. "
Genshin Impact,1,"the game is an action , where you embark on a journey across teyvat to find your lost sibling and seek answers from the seven, the gods of each element. explore this wondrous world, join forces with a diverse range of characters, and unravel the countless mysteries that teyvat holds... "
Genshin Impact,2,"the game is an action , where you embark on a journey across teyvat to find your lost sibling and seek answers from the seven, the gods of each element. explore this wondrous world, join forces with a diverse range of characters, and unravel the countless mysteries that teyvat holds... "
Signalis,1,"the game is a classic survival horror experience with a unique aesthetic, full of melancholic mystery. investigate a dark secret, solve puzzles, fight off nightmarish creatures and navigate dystopian, surreal retrotech worlds as elster, a technician replika searching for her lost dreams. "
Signalis,4,"the game is a classic survival horror experience with a unique aesthetic, full of melancholic mystery. investigate a dark secret, solve puzzles, fight off nightmarish creatures and navigate dystopian, surreal retrotech worlds as elster, a technician replika searching for her lost dreams. "
Resident Evil Village,1,"the game is a first person survival horror and the sequel to resident evil 7: biohazard. the game maintains elements from previous resident evil games with players having to scavenge environments for items and manage their resources. however, it adds more gameplay, with higher enemy counts and a greater emphasis on combat. "
